"","X","county","state","income","population","households","date","cases_sum","deaths_sum","apple_avg","retail_avg","grocery_avg","parks_avg","transit_avg","work_avg","residential_avg","cases","deaths"
"21",56655,"Imperial County","California",41807,175201,48099,"2020-03-23",2,0,117.85,-5,9.42857142857143,-20.8571428571429,-19.5714285714286,-9.14285714285714,4.42857142857143,0,0
"22",56656,"Imperial County","California",41807,175201,48099,"2020-03-24",4,0,112.585714285714,-8.71428571428571,8.57142857142857,-21,-20.2857142857143,-12.2857142857143,5.14285714285714,3,0
"23",56657,"Imperial County","California",41807,175201,48099,"2020-03-25",4,0,104.784285714286,-13.7142857142857,6.71428571428571,-25.2857142857143,-23.5714285714286,-16.7142857142857,7.14285714285714,0,0
"24",56658,"Imperial County","California",41807,175201,48099,"2020-03-26",6,0,97.5371428571429,-19.8571428571429,3.71428571428571,-31,-27.8571428571429,-19.2857142857143,9,8,0
"25",56659,"Imperial County","California",41807,175201,48099,"2020-03-27",6,0,89.73,-26.8571428571429,-1,-38.5714285714286,-33.7142857142857,-22.7142857142857,10.8571428571429,4,0
"26",56660,"Imperial County","California",41807,175201,48099,"2020-03-28",6,0,82.7957142857143,-33.2857142857143,-6.57142857142857,-43,-38.4285714285714,-26.4285714285714,12.5714285714286,4,0
"27",56661,"Imperial County","California",41807,175201,48099,"2020-03-29",7,0,78.9214285714286,-37.7142857142857,-11.8571428571429,-49.2857142857143,-42.7142857142857,-29.5714285714286,14,0,0
"28",56662,"Imperial County","California",41807,175201,48099,"2020-03-30",7,0,75.7442857142857,-41.4285714285714,-16.7142857142857,-51.2857142857143,-45.8571428571429,-31.5714285714286,14.8571428571429,8,0
"29",56663,"Imperial County","California",41807,175201,48099,"2020-03-31",13,0,72.1857142857143,-44.4285714285714,-20.8571428571429,-53.4285714285714,-49.2857142857143,-33.7142857142857,15.8571428571429,0,0
"30",56664,"Imperial County","California",41807,175201,48099,"2020-04-01",17,0,69.74,-46.1428571428571,-24.1428571428571,-54.4285714285714,-51.2857142857143,-35,16.4285714285714,10,0
"31",56665,"Imperial County","California",41807,175201,48099,"2020-04-02",19,0,69.6514285714286,-46.4285714285714,-25.8571428571429,-54.5714285714286,-52.8571428571429,-35.8571428571429,16.7142857142857,7,1
"32",56666,"Imperial County","California",41807,175201,48099,"2020-04-03",19,0,69.71,-46.5714285714286,-26.7142857142857,-54.8571428571429,-54,-36.2857142857143,16.8571428571429,5,0
"33",56667,"Imperial County","California",41807,175201,48099,"2020-04-04",27,0,69.6128571428571,-46.1428571428571,-26.4285714285714,-54.5714285714286,-54.5714285714286,-37,17,0,0
"34",56668,"Imperial County","California",41807,175201,48099,"2020-04-05",24,0,69.1957142857143,-46.5714285714286,-26.5714285714286,-54.8571428571429,-55.1428571428571,-38,17.2857142857143,10,1
"35",56669,"Imperial County","California",41807,175201,48099,"2020-04-06",34,0,69.1557142857143,-46.4285714285714,-25.7142857142857,-55.4285714285714,-55.5714285714286,-38.2857142857143,17.2857142857143,3,1
"36",56670,"Imperial County","California",41807,175201,48099,"2020-04-07",33,1,68.91,-46.5714285714286,-25.4285714285714,-56.8571428571429,-56.8571428571429,-38.5714285714286,17.2857142857143,5,0
"37",56671,"Imperial County","California",41807,175201,48099,"2020-04-08",34,1,68.5657142857143,-46.5714285714286,-24.7142857142857,-57.8571428571429,-57.1428571428571,-38.8571428571429,17.2857142857143,2,0
"38",56672,"Imperial County","California",41807,175201,48099,"2020-04-09",30,1,67.06,-47.2857142857143,-24.2857142857143,-59.1428571428571,-57.4285714285714,-39.7142857142857,17.4285714285714,4,0
"39",56673,"Imperial County","California",41807,175201,48099,"2020-04-10",40,2,65.5128571428571,-47.8571428571429,-24,-60.4285714285714,-57.7142857142857,-40.1428571428571,17.5714285714286,0,0
"40",56674,"Imperial County","California",41807,175201,48099,"2020-04-11",35,3,65.2428571428571,-49,-24.2857142857143,-61.1428571428571,-58,-40.5714285714286,17.8571428571429,8,0
"41",56675,"Imperial County","California",41807,175201,48099,"2020-04-12",40,3,64.6371428571429,-49.5714285714286,-24.7142857142857,-62.2857142857143,-57.7142857142857,-40.4285714285714,18,0,0
"42",56676,"Imperial County","California",41807,175201,48099,"2020-04-13",32,3,63.6985714285714,-50.7142857142857,-26.1428571428571,-64.1428571428571,-58.8571428571429,-41.1428571428571,18.5714285714286,13,0
"43",56677,"Imperial County","California",41807,175201,48099,"2020-04-14",29,2,63.7871428571429,-51.5714285714286,-26.5714285714286,-65.2857142857143,-58.7142857142857,-41.5714285714286,19,17,0
"44",56678,"Imperial County","California",41807,175201,48099,"2020-04-15",24,2,61.8785714285714,-53.2857142857143,-28.4285714285714,-68.2857142857143,-60.4285714285714,-43.1428571428571,20,0,0
"45",56679,"Imperial County","California",41807,175201,48099,"2020-04-16",32,2,61.5242857142857,-54,-29.2857142857143,-69.1428571428571,-61,-43.8571428571429,20.4285714285714,26,0
"46",56680,"Imperial County","California",41807,175201,48099,"2020-04-17",22,1,60.8085714285714,-55.5714285714286,-30.4285714285714,-69.8571428571429,-60.8571428571429,-44.1428571428571,20.4285714285714,0,0
"47",56681,"Imperial County","California",41807,175201,48099,"2020-04-18",32,0,60.9028571428571,-56.1428571428571,-31.2857142857143,-70.2857142857143,-61.4285714285714,-44.4285714285714,20.5714285714286,12,0
"48",56682,"Imperial County","California",41807,175201,48099,"2020-04-19",44,0,61.7114285714286,-56.2857142857143,-31.2857142857143,-70.4285714285714,-61.7142857142857,-44.5714285714286,20.7142857142857,5,0
"49",56683,"Imperial County","California",41807,175201,48099,"2020-04-20",42,0,63.2414285714286,-56,-30.4285714285714,-69.5714285714286,-60.2857142857143,-44.1428571428571,20.2857142857143,0,0
"50",56684,"Imperial County","California",41807,175201,48099,"2020-04-21",64,0,64.1071428571429,-56,-30.1428571428571,-69.4285714285714,-59.7142857142857,-44.1428571428571,20.1428571428571,35,2
"51",56685,"Imperial County","California",41807,175201,48099,"2020-04-22",64,0,67.3328571428571,-55.2857142857143,-29.2857142857143,-68.2857142857143,-58,-42.8571428571429,19.4285714285714,19,1
"52",56686,"Imperial County","California",41807,175201,48099,"2020-04-23",68,0,69.85,-55,-28.8571428571429,-68,-57,-42,19,18,2
"53",56687,"Imperial County","California",41807,175201,48099,"2020-04-24",73,0,72.5685714285714,-53.7142857142857,-27.8571428571429,-67.4285714285714,-56.7142857142857,-41.2857142857143,18.8571428571429,19,0
"54",56688,"Imperial County","California",41807,175201,48099,"2020-04-25",60,0,74.1814285714286,-53.4285714285714,-27.4285714285714,-67.7142857142857,-55.7142857142857,-40.8571428571429,18.5714285714286,0,0
"55",56689,"Imperial County","California",41807,175201,48099,"2020-04-26",78,2,74.4771428571429,-53.7142857142857,-27.4285714285714,-68.1428571428571,-55,-40.7142857142857,18.4285714285714,0,0
"56",56690,"Imperial County","California",41807,175201,48099,"2020-04-27",97,3,74.8885714285714,-54.1428571428571,-27.5714285714286,-68.7142857142857,-55.1428571428571,-40.7142857142857,18.4285714285714,33,0
"57",56691,"Imperial County","California",41807,175201,48099,"2020-04-28",89,5,75.4414285714286,-54.1428571428571,-27.8571428571429,-68.8571428571429,-55,-40.5714285714286,18.2857142857143,20,0
"58",56692,"Imperial County","California",41807,175201,48099,"2020-04-29",108,5,75.2571428571429,-54,-27.2857142857143,-68.1428571428571,-55.1428571428571,-40.4285714285714,18.2857142857143,15,0
"59",56693,"Imperial County","California",41807,175201,48099,"2020-04-30",96,5,74.4657142857143,-53.7142857142857,-27.2857142857143,-67,-55.2857142857143,-40.4285714285714,18.1428571428571,14,1
"60",56694,"Imperial County","California",41807,175201,48099,"2020-05-01",91,5,73.81,-53.5714285714286,-27.1428571428571,-64.5714285714286,-54.7142857142857,-40.7142857142857,18.1428571428571,25,0
"61",56695,"Imperial County","California",41807,175201,48099,"2020-05-02",124,5,74.1771428571429,-53.2857142857143,-26.5714285714286,-65.4285714285714,-54.5714285714286,-40.5714285714286,18.1428571428571,0,0
"62",56696,"Imperial County","California",41807,175201,48099,"2020-05-03",109,3,75.1757142857143,-52.5714285714286,-26,-65,-53.8571428571429,-40.2857142857143,17,0,0
"63",56697,"Imperial County","California",41807,175201,48099,"2020-05-04",105,2,75.8642857142857,-51.7142857142857,-25.5714285714286,-63.5714285714286,-53.4285714285714,-40,16.8571428571429,21,0
"64",56698,"Imperial County","California",41807,175201,48099,"2020-05-05",101,1,77.0228571428571,-50.4285714285714,-24.1428571428571,-61.8571428571429,-52.4285714285714,-39.5714285714286,16.5714285714286,21,0
"65",56699,"Imperial County","California",41807,175201,48099,"2020-05-06",107,1,78.7328571428571,-49.8571428571429,-23.7142857142857,-61.4285714285714,-51.8571428571429,-39.7142857142857,16.2857142857143,19,1
"66",56700,"Imperial County","California",41807,175201,48099,"2020-05-07",107,1,79.9585714285714,-49.1428571428571,-22.2857142857143,-60.2857142857143,-51,-39.1428571428571,16,36,1
"67",56701,"Imperial County","California",41807,175201,48099,"2020-05-08",107,1,81.45,-48.2857142857143,-21,-59.5714285714286,-50.8571428571429,-38.1428571428571,15.7142857142857,57,1
"68",56702,"Imperial County","California",41807,175201,48099,"2020-05-09",95,1,82.5785714285714,-47.5714285714286,-20,-55.2857142857143,-50.1428571428571,-37.7142857142857,15.4285714285714,0,0
"69",56703,"Imperial County","California",41807,175201,48099,"2020-05-10",96,1,83.6314285714286,-47.1428571428571,-19,-52.1428571428571,-49.8571428571429,-37.4285714285714,16.1428571428571,0,0
"70",56704,"Imperial County","California",41807,175201,48099,"2020-05-11",100,2,84.9114285714286,-47,-18.2857142857143,-51,-49.1428571428571,-37,16,52,0
"71",56705,"Imperial County","California",41807,175201,48099,"2020-05-12",122,2,85.3814285714286,-47.4285714285714,-18,-48.8571428571429,-49,-36.7142857142857,16,39,1
"72",56706,"Imperial County","California",41807,175201,48099,"2020-05-13",154,3,86.5471428571429,-47,-17,-45.4285714285714,-48.7142857142857,-36.1428571428571,15.7142857142857,44,1
"73",56707,"Imperial County","California",41807,175201,48099,"2020-05-14",154,3,89.1028571428571,-46.4285714285714,-14.8571428571429,-44,-48.1428571428571,-35.7142857142857,15.4285714285714,65,1
"74",56708,"Imperial County","California",41807,175201,48099,"2020-05-15",154,3,89.7542857142857,-45.7142857142857,-12.5714285714286,-42.2857142857143,-47.5714285714286,-34.7142857142857,15,74,0
"75",56709,"Imperial County","California",41807,175201,48099,"2020-05-16",185,3,90.61,-46.2857142857143,-12.8571428571429,-43.1428571428571,-48.1428571428571,-34.5714285714286,15,0,0
"76",56710,"Imperial County","California",41807,175201,48099,"2020-05-17",203,4,92.32,-46.1428571428571,-12.5714285714286,-43,-48.8571428571429,-34.2857142857143,15,0,0
"77",56711,"Imperial County","California",41807,175201,48099,"2020-05-18",228,4,94.676,-45.5714285714286,-12.4285714285714,-41.2857142857143,-48.5714285714286,-34.1428571428571,15,90,0
"78",56712,"Imperial County","California",41807,175201,48099,"2020-05-19",257,4,96.694,-45.1428571428571,-12.8571428571429,-42.2857142857143,-48.5714285714286,-34.1428571428571,14.8571428571429,26,3
"79",56713,"Imperial County","California",41807,175201,48099,"2020-05-20",274,3,99.07,-45.1428571428571,-13.2857142857143,-44.2857142857143,-48.5714285714286,-34.1428571428571,14.8571428571429,83,1
"80",56714,"Imperial County","California",41807,175201,48099,"2020-05-21",274,3,100.034,-45.4285714285714,-15.4285714285714,-45.8571428571429,-49,-34,15,0,0
"81",56715,"Imperial County","California",41807,175201,48099,"2020-05-22",274,3,103.386,-45.8571428571429,-17.7142857142857,-48.4285714285714,-48.7142857142857,-34.4285714285714,15.4285714285714,160,4
"82",56716,"Imperial County","California",41807,175201,48099,"2020-05-23",312,3,102.081666666667,-45.1428571428571,-17.7142857142857,-50.2857142857143,-48.1428571428571,-34.4285714285714,15.4285714285714,0,0
"83",56717,"Imperial County","California",41807,175201,48099,"2020-05-24",299,5,101.548571428571,-45.2857142857143,-18.2857142857143,-52.2857142857143,-47,-34.5714285714286,15.5714285714286,0,0
"84",56718,"Imperial County","California",41807,175201,48099,"2020-05-25",338,5,101.888571428571,-45.5714285714286,-18.1428571428571,-54.2857142857143,-45.5714285714286,-34.7142857142857,15.4285714285714,129,0
"85",56719,"Imperial County","California",41807,175201,48099,"2020-05-26",273,4,104.494285714286,-46,-17.4285714285714,-54.7142857142857,-43.1428571428571,-34.7142857142857,15.5714285714286,78,1
"86",56720,"Imperial County","California",41807,175201,48099,"2020-05-27",359,8,109.542857142857,-46,-17.2857142857143,-54.4285714285714,-41,-34.5714285714286,15.7142857142857,91,2
"87",56721,"Imperial County","California",41807,175201,48099,"2020-05-28",359,8,113.257142857143,-46.1428571428571,-17,-54.1428571428571,-38.4285714285714,-34.7142857142857,15.8571428571429,102,0
"88",56722,"Imperial County","California",41807,175201,48099,"2020-05-29",359,8,114.572857142857,-46.4285714285714,-17.1428571428571,-54.2857142857143,-37.1428571428571,-35.1428571428571,15.8571428571429,0,0
"89",56723,"Imperial County","California",41807,175201,48099,"2020-05-30",398,8,119.057142857143,-47.7142857142857,-18,-53.2857142857143,-36.7142857142857,-38.4285714285714,16.7142857142857,89,1
"90",56724,"Imperial County","California",41807,175201,48099,"2020-05-31",450,6,120.271428571429,-47.8571428571429,-18.1428571428571,-53,-35.8571428571429,-38.2857142857143,16.5714285714286,0,0
"91",56725,"Imperial County","California",41807,175201,48099,"2020-06-01",458,7,121.301428571429,-48.1428571428571,-18.5714285714286,-53.8571428571429,-36,-38.1428571428571,16.7142857142857,117,0
"92",56726,"Imperial County","California",41807,175201,48099,"2020-06-02",560,7,120.657142857143,-48,-19.2857142857143,-54.8571428571429,-36.7142857142857,-37.8571428571429,16.7142857142857,47,2
"93",56727,"Imperial County","California",41807,175201,48099,"2020-06-03",400,3,117.561428571429,-48.1428571428571,-20,-56.1428571428571,-37,-37.5714285714286,16.7142857142857,227,0
"94",56728,"Imperial County","California",41807,175201,48099,"2020-06-04",489,4,115.107142857143,-48.2857142857143,-20.4285714285714,-56.7142857142857,-37.7142857142857,-36.5714285714286,16.5714285714286,468,1
"95",56729,"Imperial County","California",41807,175201,48099,"2020-06-05",489,4,114.111428571429,-48.2857142857143,-20.2857142857143,-57.8571428571429,-38.4285714285714,-35.7142857142857,16.5714285714286,75.0000000000001,3
"96",56730,"Imperial County","California",41807,175201,48099,"2020-06-06",477,4,110.875714285714,-47.1428571428571,-19.5714285714286,-58.5714285714286,-37.5714285714286,-32.2857142857143,15.7142857142857,0,0
"97",56731,"Imperial County","California",41807,175201,48099,"2020-06-07",446,5,110.112857142857,-46.5714285714286,-18.8571428571429,-58.4285714285714,-37.4285714285714,-32.1428571428571,15.7142857142857,0,0
"98",56732,"Imperial County","California",41807,175201,48099,"2020-06-08",582,3,110.101428571429,-45.8571428571429,-18.1428571428571,-58.1428571428571,-37.2857142857143,-32.1428571428571,15.5714285714286,445,5
"99",56733,"Imperial County","California",41807,175201,48099,"2020-06-09",948,4,111.525714285714,-45.4285714285714,-17.8571428571429,-57.7142857142857,-37.2857142857143,-32.2857142857143,15.4285714285714,120,0
"100",56734,"Imperial County","California",41807,175201,48099,"2020-06-10",1023,7,113.002857142857,-44.7142857142857,-17.2857142857143,-57.5714285714286,-37.2857142857143,-32.5714285714286,15.2857142857143,253,3
"101",56735,"Imperial County","California",41807,175201,48099,"2020-06-11",934,6,113.697142857143,-44.1428571428571,-17.1428571428571,-57.8571428571429,-37,-33.2857142857143,15.2857142857143,19,2
"102",56736,"Imperial County","California",41807,175201,48099,"2020-06-12",934,6,115.954285714286,-43.7142857142857,-17.2857142857143,-58,-36,-33.5714285714286,15.1428571428571,319,0
"103",56737,"Imperial County","California",41807,175201,48099,"2020-06-13",1262,11,117.295714285714,-43,-17.1428571428571,-57.5714285714286,-35.7142857142857,-33.7142857142857,15,433,0
"104",56738,"Imperial County","California",41807,175201,48099,"2020-06-14",1335,9,119.015714285714,-42.8571428571429,-17.7142857142857,-58.5714285714286,-36.2857142857143,-34,15,0,0
"105",56739,"Imperial County","California",41807,175201,48099,"2020-06-15",1361,12,120.1,-42.4285714285714,-18.1428571428571,-58.5714285714286,-37,-34.1428571428571,15,141,4
"106",56740,"Imperial County","California",41807,175201,48099,"2020-06-16",912,13,119.685714285714,-42.1428571428571,-18.2857142857143,-59,-37.8571428571429,-34.2857142857143,15.1428571428571,91,5
"107",56741,"Imperial County","California",41807,175201,48099,"2020-06-17",1156,10,119.781428571429,-42.2857142857143,-18.1428571428571,-58.8571428571429,-37.8571428571429,-34.1428571428571,15,89,2
"108",56742,"Imperial County","California",41807,175201,48099,"2020-06-18",1589,10,119.494285714286,-42.2857142857143,-18.1428571428571,-59.2857142857143,-38.1428571428571,-33.7142857142857,14.8571428571429,181,6
"109",56743,"Imperial County","California",41807,175201,48099,"2020-06-19",1589,10,118.26,-42.1428571428571,-18.1428571428571,-59.2857142857143,-37.5714285714286,-33.4285714285714,14.7142857142857,85,4
"110",56744,"Imperial County","California",41807,175201,48099,"2020-06-20",1285,9,118.745714285714,-42.1428571428571,-18,-60.4285714285714,-38,-33.4285714285714,14.7142857142857,56,0
"111",56745,"Imperial County","California",41807,175201,48099,"2020-06-21",1256,14,118.64,-41.8571428571429,-17.8571428571429,-60.5714285714286,-38,-33.2857142857143,14.5714285714286,0,0
"112",56746,"Imperial County","California",41807,175201,48099,"2020-06-22",1092,13,118.757142857143,-41.8571428571429,-17.7142857142857,-60.5714285714286,-38.1428571428571,-33.1428571428571,14.4285714285714,0,0
"113",56747,"Imperial County","California",41807,175201,48099,"2020-06-23",1254,17,119.931428571429,-41.5714285714286,-17.5714285714286,-60.4285714285714,-37.7142857142857,-33,14.1428571428571,470,4
"114",56748,"Imperial County","California",41807,175201,48099,"2020-06-24",1020,21,120.232857142857,-41.1428571428571,-17.2857142857143,-60.7142857142857,-37.5714285714286,-33.1428571428571,14,279,2
"115",56749,"Imperial County","California",41807,175201,48099,"2020-06-25",643,21,122.241428571429,-41,-16.8571428571429,-60.7142857142857,-38,-33.5714285714286,14,195,3
"116",56750,"Imperial County","California",41807,175201,48099,"2020-06-26",643,21,122.844285714286,-41.2857142857143,-16.2857142857143,-61.2857142857143,-38.8571428571429,-33.1428571428571,14,94,0
"117",56751,"Imperial County","California",41807,175201,48099,"2020-06-27",502,17,123.158571428571,-41.5714285714286,-17.2857142857143,-61.7142857142857,-39,-33.5714285714286,14,203,8
"118",56752,"Imperial County","California",41807,175201,48099,"2020-06-28",881,16,123.127142857143,-41.7142857142857,-17.8571428571429,-61.5714285714286,-39.1428571428571,-33.8571428571429,14,0,0
"119",56753,"Imperial County","California",41807,175201,48099,"2020-06-29",1071,16,123.87,-42,-18.4285714285714,-61.7142857142857,-38.7142857142857,-34,14,146,0
"120",56754,"Imperial County","California",41807,175201,48099,"2020-06-30",1085,13,123.844285714286,-42.5714285714286,-19.1428571428571,-61.7142857142857,-39.1428571428571,-34.1428571428571,14.1428571428571,55,12
"121",56755,"Imperial County","California",41807,175201,48099,"2020-07-01",1094,9,126.022857142857,-42.7142857142857,-19.8571428571429,-61.7142857142857,-37.8571428571429,-34.4285714285714,14.4285714285714,281,4
"122",56756,"Imperial County","California",41807,175201,48099,"2020-07-02",1241,17,125.551428571429,-43.2857142857143,-21.1428571428571,-62.5714285714286,-36.8571428571429,-34.5714285714286,14.5714285714286,301,3
"123",56757,"Imperial County","California",41807,175201,48099,"2020-07-03",1241,17,126.582857142857,-43.2857142857143,-22.5714285714286,-62.7142857142857,-37.1428571428571,-35.1428571428571,14.7142857142857,155,5
"124",56758,"Imperial County","California",41807,175201,48099,"2020-07-04",1387,17,127.442857142857,-42.7142857142857,-22.1428571428571,-62.1428571428571,-36.7142857142857,-34.7142857142857,14.7142857142857,60,9
"125",56759,"Imperial County","California",41807,175201,48099,"2020-07-05",972,25,128.464285714286,-42.4285714285714,-21.5714285714286,-61.8571428571429,-36.8571428571429,-34.5714285714286,14.7142857142857,0,0
"126",56760,"Imperial County","California",41807,175201,48099,"2020-07-06",974,27,130.441428571429,-41.8571428571429,-21.1428571428571,-61.8571428571429,-36.7142857142857,-34.5714285714286,14.5714285714286,151,3
"127",56761,"Imperial County","California",41807,175201,48099,"2020-07-07",1080,27,134.662857142857,-41.2857142857143,-20.4285714285714,-61.8571428571429,-35.5714285714286,-34.7142857142857,14.4285714285714,153,4
"128",56762,"Imperial County","California",41807,175201,48099,"2020-07-08",1141,32,134.005714285714,-42,-20.5714285714286,-61.8571428571429,-38.1428571428571,-36.1428571428571,14.7142857142857,121,4
"129",56763,"Imperial County","California",41807,175201,48099,"2020-07-09",998,33,130.058571428571,-43.1428571428571,-20.7142857142857,-61.5714285714286,-40.7142857142857,-37.1428571428571,14.8571428571429,190,2
"130",56764,"Imperial County","California",41807,175201,48099,"2020-07-10",998,33,131.904285714286,-43.5714285714286,-21.2857142857143,-62,-40.2857142857143,-38,15,105,5
"131",56765,"Imperial County","California",41807,175201,48099,"2020-07-11",1003,36,133.544285714286,-44,-21.1428571428571,-62.1428571428571,-41.1428571428571,-38.5714285714286,15,68,3
"132",56766,"Imperial County","California",41807,175201,48099,"2020-07-12",1101,28,132.828571428571,-44.2857142857143,-21.5714285714286,-62.7142857142857,-41.4285714285714,-38.7142857142857,15,0,0
"133",56767,"Imperial County","California",41807,175201,48099,"2020-07-13",941,28,131.154285714286,-45,-22.1428571428571,-62.8571428571429,-42.4285714285714,-38.7142857142857,15.1428571428571,150,1
"134",56768,"Imperial County","California",41807,175201,48099,"2020-07-14",830,27,127.337142857143,-45.5714285714286,-23,-63.2857142857143,-44,-38.7142857142857,15.1428571428571,142,5
"135",56769,"Imperial County","California",41807,175201,48099,"2020-07-15",780,27,126.198571428571,-45.5714285714286,-23.5714285714286,-64,-43.2857142857143,-37.2857142857143,14.7142857142857,26,7
"136",56770,"Imperial County","California",41807,175201,48099,"2020-07-16",788,21,129.268571428571,-44.8571428571429,-23.8571428571429,-64.1428571428571,-43,-36.7142857142857,14.4285714285714,165,0
"137",56771,"Imperial County","California",41807,175201,48099,"2020-07-17",788,21,127.335714285714,-45.1428571428571,-24,-64.2857142857143,-44.5714285714286,-36.7142857142857,14.4285714285714,87,8
"138",56772,"Imperial County","California",41807,175201,48099,"2020-07-18",787,19,125.232857142857,-45.4285714285714,-24.5714285714286,-64.5714285714286,-44.4285714285714,-36.5714285714286,14.4285714285714,134,5
"139",56773,"Imperial County","California",41807,175201,48099,"2020-07-19",776,20,125.74,-45.7142857142857,-24.7142857142857,-64.7142857142857,-44.5714285714286,-36.7142857142857,14.4285714285714,0,0
"140",56774,"Imperial County","California",41807,175201,48099,"2020-07-20",681,23,125.051428571429,-45.8571428571429,-24.7142857142857,-64.5714285714286,-45.1428571428571,-36.8571428571429,14.4285714285714,75.0000000000001,2
"141",56775,"Imperial County","California",41807,175201,48099,"2020-07-21",656,21,124.275714285714,-45.8571428571429,-24.7142857142857,-64.7142857142857,-45,-36.8571428571429,14.4285714285714,0,0
"142",56776,"Imperial County","California",41807,175201,48099,"2020-07-22",638,24,123.082857142857,-46,-25,-64.4285714285714,-45.1428571428571,-36.8571428571429,14.4285714285714,193,2
"143",56777,"Imperial County","California",41807,175201,48099,"2020-07-23",704,26,123.85,-46,-25.1428571428571,-64.2857142857143,-44.8571428571429,-36.4285714285714,14.4285714285714,120,5
"144",56778,"Imperial County","California",41807,175201,48099,"2020-07-24",704,26,124.538571428571,-45.7142857142857,-25.1428571428571,-63.7142857142857,-43.8571428571429,-36.2857142857143,14.1428571428571,48,3
"145",56779,"Imperial County","California",41807,175201,48099,"2020-07-25",629,27,124.902857142857,-45.7142857142857,-25.2857142857143,-63.4285714285714,-44.2857142857143,-36.4285714285714,14.1428571428571,100,8
"146",56780,"Imperial County","California",41807,175201,48099,"2020-07-26",487,22,125.204285714286,-45.5714285714286,-25.5714285714286,-63.2857142857143,-44.5714285714286,-36.2857142857143,14,0,0
"147",56781,"Imperial County","California",41807,175201,48099,"2020-07-27",654,17,126.111428571429,-45.5714285714286,-26.1428571428571,-63.7142857142857,-44.2857142857143,-36.1428571428571,14,95,0
"148",56782,"Imperial County","California",41807,175201,48099,"2020-07-28",609,22,127.447142857143,-45.7142857142857,-26.4285714285714,-63.2857142857143,-44.1428571428571,-36.1428571428571,14,27,7
